,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_group,experience_number
42,2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L,Scientist,1
43,2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L,Scientist,1
44,2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M,Engineer,3
45,2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M,Engineer,3
46,2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M,Scientist,3
47,2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,Scientist,3
48,2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M,Scientist,3
49,2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M,Scientist,3
50,2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M,Scientist,3
51,2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M,Scientist,3
52,2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M,Scientist,3
53,2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M,Scientist,3
54,2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M,Engineer,3
55,2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M,Engineer,3
56,2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M,Engineer,3
57,2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M,Engineer,3
58,2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M,Scientist,4
59,2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M,Scientist,4
60,2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M,Engineer,3
61,2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,Engineer,3
62,2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M,Scientist,3
63,2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M,Scientist,3
64,2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M,Engineer,3
65,2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M,Engineer,3
66,2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M,Engineer,3
67,2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M,Engineer,3
68,2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,Scientist,3
69,2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,Scientist,3
70,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Engineer,3
71,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,Engineer,3
72,2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M,Scientist,3
73,2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M,Scientist,3
74,2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M,Engineer,3
75,2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M,Engineer,3
76,2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M,Architect,3
77,2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M,Architect,3
78,2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,Engineer,3
79,2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M,Engineer,3
80,2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L,Scientist,2
81,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M,Engineer,3
82,2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S,Engineer,2
83,2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L,Other,1
84,2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L,Engineer,2
85,2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,M,Engineer,3
86,2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,M,Engineer,3
87,2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M,Engineer,3
88,2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,Engineer,3
89,2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,Engineer,3
90,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,Engineer,3
91,2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,Scientist,3
92,2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,Scientist,3
93,2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M,Scientist,3
94,2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M,Scientist,3
95,2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M,Engineer,1
96,2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M,Engineer,1
97,2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M,Engineer,3
98,2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,Engineer,3
99,2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L,Analyst,3
100,2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L,Analyst,3
101,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M,Analyst,3
102,2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M,Analyst,3
103,2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,Engineer,3
104,2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,M,Engineer,3
105,2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,M,Engineer,3
106,2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,M,Engineer,3
107,2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M,Engineer,3
108,2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M,Engineer,3
109,2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,M,Engineer,3
110,2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M,Engineer,3
111,2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M,Engineer,3
112,2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M,Engineer,3
113,2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L,Scientist,1
114,2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,S,Engineer,1
115,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,Scientist,3
116,2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,Scientist,3
117,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,Engineer,3
118,2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M,Engineer,3
119,2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M,Engineer,3
120,2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M,Engineer,3
121,2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M,Engineer,3
122,2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M,Engineer,3
123,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,Engineer,3
124,2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M,Engineer,3
125,2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M,Engineer,3
126,2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M,Engineer,3
127,2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M,Engineer,3
128,2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M,Engineer,3
129,2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M,Manager,2
130,2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M,Manager,2
131,2023,SE,FT,Data Engineer,161800,USD,161800,US,100,US,M,Engineer,3
132,2023,SE,FT,Data Engineer,141600,USD,141600,US,100,US,M,Engineer,3
133,2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L,Engineer,3
134,2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,L,Engineer,3
135,2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,Engineer,2
136,2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,Engineer,2
137,2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,Engineer,1
138,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,Engineer,1
139,2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,M,Scientist,3
140,2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M,Scientist,3
141,2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M,Analyst,1
142,2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M,Analyst,1
143,2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M,Analyst,3
144,2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M,Analyst,3
145,2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M,Engineer,3
146,2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M,Engineer,3
147,2023,SE,FT,Data Engineer,95000,USD,95000,US,100,US,M,Engineer,3
148,2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M,Engineer,3
149,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,Scientist,3
150,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,Scientist,3
151,2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,M,Engineer,3
152,2023,SE,FT,Analytics Engineer,143200,USD,143200,US,0,US,M,Engineer,3
153,2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,Engineer,2
154,2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,Engineer,2
155,2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L,Analyst,2
156,2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IN,100,IN,L,Scientist,2
157,2023,MI,FT,Data Analyst,38000,GBP,46178,GB,0,GB,M,Analyst,2
158,2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,M,Analyst,2
159,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Engineer,3
160,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Engineer,3
161,2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M,Analyst,3
162,2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M,Analyst,3
163,2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,Scientist,3
164,2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,Scientist,3
165,2023,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M,Engineer,3
166,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M,Engineer,3
167,2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,Engineer,2
168,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Engineer,2
169,2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,M,Engineer,3
170,2023,SE,FT,Analytics Engineer,120000,USD,120000,US,100,US,M,Engineer,3
171,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Engineer,3
172,2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M,Engineer,3
173,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,Scientist,3
174,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Scientist,3
175,2023,SE,FT,Data Analyst,45000,GBP,54685,CF,100,CF,M,Analyst,3
176,2023,SE,FT,Data Analyst,35000,GBP,42533,CF,100,CF,M,Analyst,3
177,2023,SE,FT,Data Engineer,241000,USD,241000,US,0,US,M,Engineer,3
178,2023,SE,FT,Data Engineer,155000,USD,155000,US,0,US,M,Engineer,3
179,2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,Engineer,3
180,2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M,Engineer,3
181,2023,MI,FT,Data Scientist,55000,GBP,66837,GB,0,GB,M,Scientist,2
182,2023,MI,FT,Data Scientist,45000,GBP,54685,GB,0,GB,M,Scientist,2
183,2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M,Analyst,4
184,2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,100,GB,M,Engineer,2
185,2023,MI,FT,ETL Engineer,47500,GBP,57723,GB,100,GB,M,Engineer,2
186,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M,Analyst,1
187,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M,Analyst,1
188,2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,Engineer,3
189,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,Engineer,3
190,2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M,Engineer,2
191,2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M,Engineer,2
192,2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,M,Scientist,3
193,2023,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M,Scientist,3
194,2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M,Scientist,3
195,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,Scientist,3
196,2023,MI,FT,Research Engineer,230000,USD,230000,US,0,US,M,Engineer,2
197,2023,MI,FT,Research Engineer,200000,USD,200000,US,0,US,M,Engineer,2
198,2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M,Architect,3
199,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,Architect,3
200,2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M,Architect,3
201,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,Architect,3
202,2023,SE,FT,Data DevOps Engineer,50000,EUR,53654,FR,50,FR,S,Engineer,3
203,2023,EX,FT,Data Engineer,220000,USD,220000,US,0,US,M,Engineer,4
204,2023,EX,FT,Data Engineer,205000,USD,205000,US,0,US,M,Engineer,4
205,2023,MI,FT,Data Engineer,180000,USD,180000,US,0,US,M,Engineer,2
206,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Engineer,2
207,2023,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M,Engineer,3
208,2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,Engineer,3
209,2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0,US,M,Engineer,3
210,2023,SE,FT,Computer Vision Engineer,170000,USD,170000,US,0,US,M,Engineer,3
211,2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M,Engineer,3
212,2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M,Engineer,3
213,2023,SE,FT,Data Scientist,224000,USD,224000,CA,0,CA,M,Scientist,3
214,2023,SE,FT,Data Scientist,176000,USD,176000,CA,0,CA,M,Scientist,3
215,2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M,Analyst,3
216,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M,Analyst,3
217,2023,EN,FT,Data Engineer,1400000,INR,17022,IN,100,IN,L,Engineer,1
218,2023,SE,FT,Applied Data Scientist,100000,AUD,68318,AU,100,FI,M,Scientist,3
219,2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,M,Other,2
220,2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M,Analyst,3
221,2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M,Analyst,3
222,2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M,Engineer,3
223,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,Engineer,3
224,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Engineer,3
225,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Engineer,3
226,2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,Engineer,3
227,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,Engineer,3
228,2023,EX,FT,Head of Data,329500,USD,329500,US,0,US,M,Other,4
229,2023,EX,FT,Head of Data,269600,USD,269600,US,0,US,M,Other,4
230,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M,Analyst,3
231,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M,Analyst,3
232,2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M,Scientist,3
233,2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M,Scientist,3
234,2023,MI,FT,AI Developer,200000,USD,200000,US,100,US,M,Other,2
235,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Engineer,3
236,2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M,Engineer,3
237,2023,EX,FT,Data Engineer,145000,USD,145000,US,0,US,M,Engineer,4
238,2023,EX,FT,Data Engineer,115000,USD,115000,US,0,US,M,Engineer,4
239,2023,SE,FT,Data Scientist,203500,USD,203500,US,0,US,M,Scientist,3
240,2023,SE,FT,Data Scientist,152000,USD,152000,US,0,US,M,Scientist,3
241,2023,SE,FT,Data Scientist,239000,USD,239000,US,0,US,L,Scientist,3
242,2023,SE,FT,Data Scientist,122900,USD,122900,US,0,US,L,Scientist,3
243,2023,SE,FT,Data Scientist,237000,USD,237000,US,0,US,M,Scientist,3
244,2023,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M,Scientist,3
245,2023,SE,FT,Data Science Manager,191765,USD,191765,US,0,US,M,Manager,3
246,2023,SE,FT,Data Science Manager,134236,USD,134236,US,0,US,M,Manager,3
247,2023,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M,Engineer,3
248,2023,SE,FT,Analytics Engineer,112000,USD,112000,US,100,US,M,Engineer,3
249,2022,SE,FT,Data Scientist,84000,EUR,88256,ES,100,GB,L,Scientist,3
250,2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,Engineer,1
251,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,Engineer,1
252,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M,Analyst,3
253,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M,Analyst,3
254,2023,SE,FT,Research Engineer,293000,USD,293000,US,0,US,M,Engineer,3
255,2023,SE,FT,Research Engineer,185000,USD,185000,US,0,US,M,Engineer,3
256,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M,Analyst,3
257,2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M,Analyst,3
258,2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,Engineer,3
259,2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M,Engineer,3
260,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,Scientist,3
261,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M,Scientist,3
262,2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M,Analyst,3
263,2023,SE,FT,Data Analyst,148500,USD,148500,US,0,US,M,Analyst,3
264,2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,Scientist,3
265,2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,Scientist,3
266,2023,SE,FT,Data Engineer,240500,USD,240500,US,0,US,L,Engineer,3
267,2023,SE,FT,Data Engineer,123700,USD,123700,US,0,US,L,Engineer,3
268,2023,SE,FT,Analytics Engineer,152900,USD,152900,US,100,US,M,Engineer,3
269,2023,SE,FT,Analytics Engineer,117100,USD,117100,US,100,US,M,Engineer,3
270,2023,SE,FT,Analytics Engineer,173000,USD,173000,US,100,US,M,Engineer,3
271,2023,SE,FT,Analytics Engineer,113000,USD,113000,US,100,US,M,Engineer,3
272,2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L,Scientist,3
273,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Scientist,3
274,2023,EX,FT,Data Engineer,175000,USD,175000,US,0,US,M,Engineer,4
275,2023,EX,FT,Data Engineer,110000,USD,110000,US,0,US,M,Engineer,4
276,2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L,Scientist,3
277,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Scientist,3
278,2023,SE,FT,Research Scientist,130000,USD,130000,US,100,US,M,Scientist,3
279,2023,SE,FT,Research Scientist,110000,USD,110000,US,100,US,M,Scientist,3
280,2023,SE,FT,Applied Scientist,205000,USD,205000,US,100,US,M,Scientist,3
281,2023,SE,FT,Applied Scientist,184000,USD,184000,US,100,US,M,Scientist,3
282,2023,SE,FT,Data Analyst,149500,USD,149500,US,100,US,M,Analyst,3
283,2023,SE,FT,Data Analyst,127075,USD,127075,US,100,US,M,Analyst,3
284,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,Scientist,3
285,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,Scientist,3
286,2023,SE,FT,Data Engineer,219535,USD,219535,US,100,US,M,Engineer,3
287,2023,SE,FT,Data Engineer,146115,USD,146115,US,100,US,M,Engineer,3
288,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,Scientist,3
289,2023,SE,FT,Data Scientist,135000,USD,135000,US,0,US,M,Scientist,3
290,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,Scientist,3
291,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M,Scientist,3
292,2023,SE,FT,Data Scientist,199000,USD,199000,US,0,US,M,Scientist,3
293,2023,SE,FT,Data Scientist,162000,USD,162000,US,0,US,M,Scientist,3
294,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,Scientist,3
295,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Scientist,3
296,2023,EX,FT,Analytics Engineer,221000,USD,221000,US,100,US,M,Engineer,4
297,2023,EX,FT,Analytics Engineer,153000,USD,153000,US,100,US,M,Engineer,4
298,2023,SE,FT,Data Analyst,187000,USD,187000,US,0,US,M,Analyst,3
299,2023,SE,FT,Data Analyst,128000,USD,128000,US,0,US,M,Analyst,3
300,2023,SE,FT,Research Scientist,210000,USD,210000,US,0,US,M,Scientist,3
301,2023,SE,FT,Research Scientist,136000,USD,136000,US,0,US,M,Scientist,3
302,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,Scientist,3
303,2023,SE,FT,Data Scientist,100000,USD,100000,US,100,US,M,Scientist,3
304,2023,SE,FT,Data Engineer,179000,USD,179000,US,0,US,M,Engineer,3
305,2023,SE,FT,Data Engineer,109000,USD,109000,US,0,US,M,Engineer,3
306,2023,SE,FT,Data Scientist,245000,USD,245000,US,0,US,M,Scientist,3
307,2023,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M,Scientist,3
308,2023,SE,FT,Data Analyst,142000,USD,142000,US,100,US,M,Analyst,3
309,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M,Analyst,3
310,2023,SE,FT,Data Manager,198800,USD,198800,US,0,US,M,Manager,3
311,2023,SE,FT,Data Manager,105200,USD,105200,US,0,US,M,Manager,3
312,2023,SE,FT,Data Analyst,125000,USD,125000,US,100,US,M,Analyst,3
313,2023,SE,FT,Data Analyst,112000,USD,112000,US,100,US,M,Analyst,3
314,2023,SE,FT,Data Scientist,210000,USD,210000,US,0,US,M,Scientist,3
315,2023,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M,Scientist,3
316,2023,SE,FT,Data Manager,115000,USD,115000,US,100,US,M,Manager,3
317,2023,SE,FT,Data Manager,86000,USD,86000,US,100,US,M,Manager,3
318,2023,SE,FT,Data Scientist,165000,USD,165000,US,0,US,M,Scientist,3
319,2023,SE,FT,Data Scientist,140000,USD,140000,US,0,US,M,Scientist,3
320,2023,SE,FT,Data Analyst,139000,USD,139000,US,0,US,M,Analyst,3
321,2023,SE,FT,Data Analyst,106000,USD,106000,US,0,US,M,Analyst,3
322,2023,EN,FT,Data Analyst,55000,CAD,40663,CA,0,CA,L,Analyst,1
